job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
Director,DCPS,16,137559.0,2022-08-15,Ed - Reg,2022,4,16.0,125K-150K
Speech Language Pathologist (W,DCPS,15,85361.0,2025-08-13,Ed - Reg,2025,1,15.0,75K-100K
Director,DCPS,16,133851.0,2018-09-17,Ed - Reg,2018,8,16.0,125K-150K
"Teacher, Special Ed.",DCPS,15,85361.0,2022-01-05,Ed - Reg,2022,4,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,75830.0,2023-08-21,Ed - Reg,2023,3,15.0,75K-100K
Social Worker,DCPS,15,116119.0,2025-08-11,Ed - Reg,2025,1,15.0,100K-125K
"Teacher, General Elementary",DCPS,15,101115.0,2023-11-29,Ed - Reg,2023,3,15.0,100K-125K
"Coach, Instructional",DCPS,15,130268.0,2014-12-08,Ed - Reg,2014,12,15.0,125K-150K
Manager,DCPS,15,114218.0,2005-06-21,CS - Reg,2005,21,15.0,100K-125K
Aide 10Mo Early Childhood Educ,DCPS,04,40291.0,2001-06-18,Ed - Reg,2001,25,4.0,Under 50K
"Teacher, General Elementary",DCPS,15,112947.0,2018-08-12,Ed - Reg,2018,8,15.0,100K-125K
Manager,DCPS,15,117378.0,2016-09-19,Ed - Reg,2016,10,15.0,100K-125K
Teacher- Esol,DCPS,15,134332.0,2009-02-11,Ed - Reg,2009,17,15.0,125K-150K
"Teacher,English",DCPS,15,82173.0,2017-09-01,Ed - Reg,2017,9,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,85242.0,2019-08-18,Ed - Reg,2019,7,15.0,75K-100K
Site Leader (Afterschool),DCPS,30,56160.0,2009-08-24,Ed - Temp,2009,17,30.0,50K-75K
Teacher (Eg 09),DCPS,09,90017.0,2010-09-07,Ed - Reg,2010,16,9.0,75K-100K
"Teacher, General Elementary",DCPS,15,97187.0,2017-08-06,Ed - Reg,2017,9,15.0,75K-100K
Teacher- Esol,DCPS,15,97187.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
"Teacher, General Secondary",DCPS,15,126967.0,2009-08-17,Ed - Reg,2009,17,15.0,125K-150K
Specialist,DCPS,14,109367.0,2008-12-22,Ed - Reg,2008,18,14.0,100K-125K
Aide 10Mo Early Childhood Educ,DCPS,04,46175.0,2018-11-12,Ed - Reg,2018,8,4.0,Under 50K
"Coordinator, Program",DCPS,10,111540.0,2024-07-30,Ed - Reg,2024,2,10.0,100K-125K
"Teacher, Pe",DCPS,15,105573.0,2014-08-11,Ed - Reg,2014,12,15.0,100K-125K
"Aide, 10Mo Instructional",DCPS,04,46175.0,2024-08-19,Ed - Reg,2024,2,4.0,Under 50K
"Teacher, Language Acquisition,",DCPS,15,97187.0,2016-09-05,Ed - Reg,2016,10,15.0,75K-100K
Custodian,DCPS,05,28.36,2001-05-21,Ed - Reg,2001,25,5.0,Under 50K
"Teacher, General Elementary",DCPS,15,101115.0,2025-10-09,Ed - Reg,2025,1,15.0,100K-125K
Aide 10Mo Early Childhood Educ,DCPS,04,41454.4,2025-09-08,Ed - Reg,2025,1,4.0,Under 50K
Teacher- Esol,DCPS,15,70696.0,2022-08-22,Ed - Reg,2022,4,15.0,50K-75K
"Teacher, Special Ed.",DCPS,15,97187.0,2019-08-05,Ed - Reg,2019,7,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,130561.0,2009-02-05,Ed - Reg,2009,17,15.0,125K-150K
Custodial Foreman,DCPS,01,32.19,1999-11-16,Ed - Reg,1999,27,1.0,Under 50K
"Teacher, Early Childhood",DCPS,15,75700.0,2023-08-18,Ed - Reg,2023,3,15.0,75K-100K
Assistant Principal,DCPS,83,165041.0,2013-07-29,Ed - Reg,2013,13,83.0,150K+
Contract Specialist,DCPS,09,78046.0,2013-10-28,Ed - Reg,2013,13,9.0,75K-100K
Assistant Principal,DCPS,82,154131.0,2023-07-03,Ed - Reg,2023,3,82.0,150K+
"Aide, 10Mo Special Ed",DCPS,04,41454.4,2023-07-25,Ed - Reg,2023,3,4.0,Under 50K
Principal,DCPS,65,180046.0,2023-07-03,Ed - Reg,2023,3,65.0,150K+
"Teacher, World Language",DCPS,15,130268.0,2015-08-10,Ed - Reg,2015,11,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,89306.0,2019-08-05,Ed - Reg,2019,7,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,93234.0,2016-02-22,Ed - Reg,2016,10,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,97941.0,2015-08-17,Ed - Reg,2015,11,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,105071.0,2023-01-03,Ed - Reg,2023,3,15.0,100K-125K
"Teacher, Pe",DCPS,15,126967.0,2015-08-09,Ed - Reg,2015,11,15.0,125K-150K
Social Worker,DCPS,15,112947.0,2011-07-31,Ed - Reg,2011,15,15.0,100K-125K
"Specialist, Reading",DCPS,15,130268.0,2014-08-11,Ed - Reg,2014,12,15.0,125K-150K
"Teacher, Early Childhood",DCPS,15,79005.0,2022-11-14,Ed - Reg,2022,4,15.0,75K-100K
Substitute Teacher,DCPS,17,20.0,2018-09-30,Ed - Temp,2018,8,17.0,Under 50K
Custodian,DCPS,03,22.97,2013-10-21,Ed - Reg,2013,13,3.0,Under 50K
"Teacher, Special Ed.",DCPS,15,126967.0,2007-08-21,Ed - Reg,2007,19,15.0,125K-150K
"Aide, 10Mo Special Ed",DCPS,04,42660.8,2022-01-31,Ed - Reg,2022,4,4.0,Under 50K
"Teacher,Esl,Elementary",DCPS,15,85242.0,2023-08-21,Ed - Reg,2023,3,15.0,75K-100K
"Coach, Intervention (Fss)",DCPS,15,154112.0,1996-11-01,Ed - Reg,1996,30,15.0,150K+
Psychologist (Wtu),DCPS,15,52144.5,2020-08-17,Ed - Reg,2020,6,15.0,50K-75K
Instructional Coach,DCPS,15,137632.0,2015-08-09,Ed - Reg,2015,11,15.0,125K-150K
"Coordinator, Program",DCPS,10,95202.0,2011-07-13,Ed - Reg,2011,15,10.0,75K-100K
"Teacher, General Elementary",DCPS,15,101115.0,2017-08-14,Ed - Reg,2017,9,15.0,100K-125K
"Clerk, Data Entry Clerk",DCPS,04,39124.8,2024-10-01,Ed - Reg,2024,2,4.0,Under 50K
Teacher- Esol,DCPS,15,88402.0,2025-08-21,Ed - Reg,2025,1,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,73189.0,2021-12-06,Ed - Reg,2021,5,15.0,50K-75K
"Teacher, Early Childhood",DCPS,15,101115.0,2024-08-11,Ed - Reg,2024,2,15.0,100K-125K
"Teacher,Wae",DCPS,16,34.39,2011-07-01,Ed - Temp,2011,15,16.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,41454.4,2022-03-14,Ed - Reg,2022,4,4.0,Under 50K
Librarian,DCPS,15,112947.0,2022-10-19,Ed - Reg,2022,4,15.0,100K-125K
Aide 12Mo - Instructional Year,DCPS,04,48526.0,2016-08-15,Ed - Reg,2016,10,4.0,Under 50K
"Specialist, Library/Media",DCPS,15,112947.0,2015-01-12,Ed - Reg,2015,11,15.0,100K-125K
Custodian-Rw 3,DCPS,03,21.45,2025-04-14,Ed - Reg,2025,1,3.0,Under 50K
Custodian,DCPS,03,22.97,2021-08-16,Ed - Reg,2021,5,3.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,40291.0,2023-03-13,Ed - Reg,2023,3,4.0,Under 50K
Principal,DCPS,62,160950.0,2015-08-10,Ed - Reg,2015,11,62.0,150K+
Principal,DCPS,66,218237.0,2011-07-31,Ed - Reg,2011,15,66.0,150K+
"Clerk, Data Entry Clerk",DCPS,04,46175.0,2025-11-24,Ed - Reg,2025,1,4.0,Under 50K
"Teacher, General Secondary",DCPS,15,82173.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
Specialist,DCPS,14,100988.0,2022-05-09,CS - Reg,2022,4,14.0,100K-125K
"Teacher,Mathematics (Et 15)",DCPS,15,137632.0,2005-08-23,Ed - Reg,2005,21,15.0,125K-150K
Social Worker,DCPS,15,137632.0,2008-09-08,Ed - Reg,2008,18,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,137632.0,2018-08-09,Ed - Reg,2018,8,15.0,125K-150K
"Aide, Administrative",DCPS,07,56461.0,2023-02-06,Ed - Reg,2023,3,7.0,50K-75K
"Teacher, Visual & Performing A",DCPS,15,82054.0,2025-08-11,Ed - Reg,2025,1,15.0,75K-100K
Social Worker,DCPS,15,130268.0,2006-04-18,Ed - Reg,2006,20,15.0,125K-150K
"Aide, 10Mo Pre-K/K",DCPS,04,42660.8,2024-09-03,Ed - Reg,2024,2,4.0,Under 50K
Custodian-Rw 3,DCPS,03,17.95,2025-09-15,Ed - Reg,2025,1,3.0,Under 50K
Custodian- Rw 5,DCPS,05,28.36,2001-09-24,Ed - Reg,2001,25,5.0,Under 50K
Substitute Teacher,DCPS,17,25.0,2022-10-12,Ed - Temp,2022,4,17.0,Under 50K
Custodian,DCPS,03,19.39,2019-10-03,Ed - Reg,2019,7,3.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,48526.0,2023-09-25,Ed - Reg,2023,3,4.0,Under 50K
"Teacher, Special Ed.",DCPS,15,137632.0,2010-06-05,Ed - Reg,2010,16,15.0,125K-150K
"Teacher, Visual & Performing A",DCPS,15,137632.0,2015-09-14,Ed - Reg,2015,11,15.0,125K-150K
"School Counselor, Hs (11 Month",DCPS,15,151395.0,2009-08-17,Ed - Reg,2009,17,15.0,150K+
Behavior Technician,DCPS,05,47424.0,2023-09-06,Ed - Reg,2023,3,5.0,Under 50K
"Teacher, General Secondary",DCPS,15,70696.0,2022-08-30,Ed - Reg,2022,4,15.0,50K-75K
"Aide, 10Mo Special Ed",DCPS,04,43821.0,2021-03-21,Ed - Reg,2021,5,4.0,Under 50K
"Teacher, General Secondary",DCPS,15,101115.0,2014-08-11,Ed - Reg,2014,12,15.0,100K-125K
"Teacher, General Secondary",DCPS,15,137632.0,2015-08-27,Ed - Reg,2015,11,15.0,125K-150K
Custodian,DCPS,03,24.78,2017-06-25,Ed - Reg,2017,9,3.0,Under 50K
"Teacher, Early Childhood",DCPS,15,126967.0,2016-06-20,Ed - Reg,2016,10,15.0,125K-150K
Aide 12Mo - Instructional Year,DCPS,04,40291.0,2025-08-11,Ed - Reg,2025,1,4.0,Under 50K
Chief,DCPS,06,232617.0,2012-07-16,Ed - Reg,2012,14,6.0,150K+
"Coordinator, Iss",DCPS,07,63024.0,2023-06-05,Ed - Reg,2023,3,7.0,50K-75K
Teacher - Career/Tech Ed (Cte),DCPS,15,134332.0,2017-11-15,Ed - Reg,2017,9,15.0,125K-150K
Social Worker,DCPS,15,88538.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
"School Counselor, Hs (11 Month",DCPS,15,135516.0,2007-08-21,Ed - Reg,2007,19,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,100359.0,2025-08-11,Ed - Reg,2025,1,15.0,100K-125K
"Teacher, Early Childhood",DCPS,15,130268.0,2017-07-23,Ed - Reg,2017,9,15.0,125K-150K
"Aide, 10Mo Pre-K/K",DCPS,04,48526.0,1999-12-06,Ed - Reg,1999,27,4.0,Under 50K
"Aide, 10Mo Pre-School",DCPS,04,47361.6,2011-08-15,Ed - Reg,2011,15,4.0,Under 50K
Specialist,DCPS,14,103780.0,2005-11-14,Ed - Reg,2005,21,14.0,100K-125K
"Teacher, Pe",DCPS,15,97187.0,2016-02-01,Ed - Reg,2016,10,15.0,75K-100K
Custodian- Rw 5,DCPS,05,28.36,2016-11-21,Ed - Reg,2016,10,5.0,Under 50K
Social Worker,DCPS,15,130268.0,2005-11-14,Ed - Reg,2005,21,15.0,125K-150K
"Coordinator, Program",DCPS,10,95202.0,2021-12-13,Ed - Reg,2021,5,10.0,75K-100K
"Teacher, General Elementary",DCPS,15,137632.0,1993-09-08,Ed - Reg,1993,33,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,137632.0,2016-07-24,Ed - Reg,2016,10,15.0,125K-150K
Social Worker,DCPS,15,130268.0,2009-03-23,Ed - Reg,2009,17,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,123196.0,2017-12-06,Ed - Reg,2017,9,15.0,100K-125K
Coordinator (Eg),DCPS,13,76007.0,2024-07-01,CS - Reg,2024,2,13.0,75K-100K
"Teacher, General Secondary",DCPS,15,134332.0,2004-08-27,Ed - Reg,2004,22,15.0,125K-150K
Principal,DCPS,61,203233.0,2004-08-04,Ed - Reg,2004,22,61.0,150K+
"Teacher, General Secondary",DCPS,15,126967.0,2017-08-23,Ed - Reg,2017,9,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,68179.0,2024-08-28,Ed - Reg,2024,2,15.0,50K-75K
"Teacher, Art",DCPS,15,101115.0,2023-01-18,Ed - Reg,2023,3,15.0,100K-125K
Assistant Principal,DCPS,82,141852.0,2012-08-12,Ed - Reg,2012,14,82.0,125K-150K
"Teacher, Special Ed.",DCPS,15,130561.0,2004-10-10,Ed - Reg,2004,22,15.0,125K-150K
"Aide, 10Mo Kindergarten",DCPS,04,46175.0,2025-08-25,Ed - Reg,2025,1,4.0,Under 50K
"Coordinator, Program",DCPS,10,111540.0,2018-08-06,Ed - Reg,2018,8,10.0,100K-125K
"Teacher, General Elementary",DCPS,15,85361.0,2020-09-28,Ed - Reg,2020,6,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,101115.0,2015-08-10,Ed - Reg,2015,11,15.0,100K-125K
"Teacher, Visual & Performing A",DCPS,15,112947.0,2023-08-14,Ed - Reg,2023,3,15.0,100K-125K
"Aide, 10Mo Special Ed",DCPS,04,48526.0,2014-08-25,Ed - Reg,2014,12,4.0,Under 50K
"Therapist,Occupational",DCPS,15,105071.0,2019-08-05,Ed - Reg,2019,7,15.0,100K-125K
Behavior Technician,DCPS,05,52728.0,2021-10-18,Ed - Reg,2021,5,5.0,50K-75K
"Aide, 10Mo Special Ed",DCPS,04,41454.4,2024-08-26,Ed - Reg,2024,2,4.0,Under 50K
Director (Cso),DCPS,06,143651.0,2004-09-06,Ed - Reg,2004,22,6.0,125K-150K
Librarian,DCPS,15,99601.0,2013-10-02,Ed - Reg,2013,13,15.0,75K-100K
"Teacher, Visual & Performing A",DCPS,15,112947.0,2019-08-19,Ed - Reg,2019,7,15.0,100K-125K
Program Manager,DCPS,15,114218.0,2010-06-01,Ed - Reg,2010,16,15.0,100K-125K
Assistant Principal,DCPS,81,145946.0,2006-08-22,Ed - Reg,2006,20,81.0,125K-150K
Teacher- Science (Et- 15),DCPS,15,108221.0,2023-09-11,Ed - Reg,2023,3,15.0,100K-125K
"Manager, Strategy & Logistics",DCPS,10,92556.0,2016-08-02,Ed - Reg,2016,10,10.0,75K-100K
Principal,DCPS,61,197776.0,2009-04-06,Ed - Reg,2009,17,61.0,150K+
"Teacher, General Elementary",DCPS,15,75830.0,2024-09-23,Ed - Reg,2024,2,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,79005.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
Behavior Technician,DCPS,05,47424.0,2024-08-05,Ed - Reg,2024,2,5.0,Under 50K
Behavior Technician,DCPS,05,52728.0,2010-06-14,Ed - Reg,2010,16,5.0,50K-75K
"Aide, Administrative",DCPS,07,51551.0,2025-03-03,Ed - Reg,2025,1,7.0,50K-75K
"Aide, Administrative",DCPS,07,66268.8,2004-01-19,Ed - Reg,2004,22,7.0,50K-75K
Aide 10Mo Early Childhood Educ,DCPS,04,43821.0,2023-08-14,Ed - Reg,2023,3,4.0,Under 50K
"Teacher, Early Childhood",DCPS,15,112947.0,2018-08-05,Ed - Reg,2018,8,15.0,100K-125K
"Coordinator, Program",DCPS,10,116009.0,2014-08-11,Ed - Reg,2014,12,10.0,100K-125K
"Teacher, General Secondary",DCPS,15,127848.0,2021-09-20,Ed - Reg,2021,5,15.0,125K-150K
"Specialist, Library/Media",DCPS,15,105071.0,2024-02-12,Ed - Reg,2024,2,15.0,100K-125K
"Teacher, Special Ed.",DCPS,15,79005.0,2025-08-11,CS - Reg,2025,1,15.0,75K-100K
"Coordinator, Iss",DCPS,07,64644.0,2022-08-15,Ed - Reg,2022,4,7.0,50K-75K
"Teacher, General Secondary",DCPS,15,126967.0,2020-08-17,Ed - Reg,2020,6,15.0,125K-150K
Speech Language Pathologist (W,DCPS,15,130268.0,2014-10-14,Ed - Reg,2014,12,15.0,125K-150K
"Aide, 10Mo General Ed",DCPS,04,42660.8,2020-12-16,Ed - Reg,2020,6,4.0,Under 50K
"Aide, 10Mo Instructional",DCPS,04,43821.0,2025-10-06,Ed - Reg,2025,1,4.0,Under 50K
"Manager, Strategy & Logistics",DCPS,10,107188.0,2015-10-19,Ed - Reg,2015,11,10.0,100K-125K
Director (Cso),DCPS,06,143651.0,2015-11-16,Ed - Reg,2015,11,6.0,125K-150K
"Aide, 10Mo Instructional",DCPS,04,42660.8,2022-12-21,Ed - Reg,2022,4,4.0,Under 50K
"Therapist,Occupational",DCPS,15,127848.0,2016-08-07,Ed - Reg,2016,10,15.0,125K-150K
"Aide, 10Mo Special Ed",DCPS,04,41454.4,2022-08-22,Ed - Reg,2022,4,4.0,Under 50K
Program Specialist,DCPS,14,100988.0,2018-08-05,Ed - Reg,2018,8,14.0,100K-125K
"Aide, 10Mo Pre-K/K",DCPS,04,48526.0,2002-08-28,Ed - Reg,2002,24,4.0,Under 50K
Custodian- Rw 5,DCPS,05,20.54,2025-09-05,Ed - Reg,2025,1,5.0,Under 50K
"Aide, 10Mo General Ed",DCPS,04,47361.6,2022-08-15,Ed - Reg,2022,4,4.0,Under 50K
"Manager, Academy",DCPS,08,119468.0,2019-09-08,Ed - Reg,2019,7,8.0,100K-125K
"Teacher, World Language",DCPS,15,124610.0,2015-08-10,Ed - Reg,2015,11,15.0,100K-125K
Substitute Teacher,DCPS,17,25.0,2013-09-25,Ed - Temp,2013,13,17.0,Under 50K
"Teacher, General Secondary",DCPS,15,82054.0,2023-08-14,Ed - Reg,2023,3,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,130268.0,2011-07-31,Ed - Reg,2011,15,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,93234.0,2018-11-05,Ed - Reg,2018,8,15.0,75K-100K
Speech Pathologist,DCPS,15,128281.0,2016-08-08,Ed - Reg,2016,10,15.0,125K-150K
"Aide, 10Mo Special Ed",DCPS,04,46175.0,2025-01-27,Ed - Reg,2025,1,4.0,Under 50K
"Teacher, Visual & Performing A",DCPS,15,133508.0,2019-08-19,Ed - Reg,2019,7,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,130268.0,1998-12-07,Ed - Reg,1998,28,15.0,125K-150K
"Teacher, General Secondary",DCPS,15,88402.0,2024-08-19,Ed - Reg,2024,2,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,75830.0,2024-09-30,Ed - Reg,2024,2,15.0,75K-100K
"Aide, 10Mo Pre-K/K",DCPS,04,48526.0,2020-08-24,Ed - Reg,2020,6,4.0,Under 50K
"Teacher, Special Ed.",DCPS,15,112947.0,2017-08-14,Ed - Reg,2017,9,15.0,100K-125K
Librarian,DCPS,15,104289.0,2020-08-17,Ed - Reg,2020,6,15.0,100K-125K
"Teacher, Pe",DCPS,15,94724.0,2004-05-22,Ed - Reg,2004,22,15.0,75K-100K
"Coordinator, Program",DCPS,10,95202.0,2015-08-23,Ed - Reg,2015,11,10.0,75K-100K
Psychologist (Cso),DCPS,11,122969.0,2018-07-22,Ed - Reg,2018,8,11.0,100K-125K
Psychologist (Wtu),DCPS,15,75830.0,2024-08-12,Ed - Reg,2024,2,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,137632.0,2009-08-27,Ed - Reg,2009,17,15.0,125K-150K
Substitute Teacher,DCPS,17,20.0,2019-09-01,Ed - Temp,2019,7,17.0,Under 50K
"Teacher, Special Education",DCPS,15,130268.0,2010-10-04,Ed - Reg,2010,16,15.0,125K-150K
"Coordinator, Program",DCPS,10,107188.0,2025-08-21,Ed - Reg,2025,1,10.0,100K-125K
"Teacher, General Elementary",DCPS,15,124610.0,2007-08-20,Ed - Reg,2007,19,15.0,100K-125K
Business Manager,DCPS,11,79742.0,2009-08-31,Ed - Reg,2009,17,11.0,75K-100K
Psychologist (Wtu),DCPS,15,137632.0,2004-12-28,Ed - Reg,2004,22,15.0,125K-150K
Manager,DCPS,15,117378.0,2013-05-20,Ed - Reg,2013,13,15.0,100K-125K
"Teacher, Early Childhood",DCPS,15,137632.0,2009-11-09,Ed - Reg,2009,17,15.0,125K-150K
Athletic Trainer,DCPS,15,124241.0,2017-08-28,Ed - Reg,2017,9,15.0,100K-125K
"Aide, 10Mo Special Ed",DCPS,04,41454.4,2024-09-03,Ed - Reg,2024,2,4.0,Under 50K
"Teacher, Special Ed.",DCPS,15,79005.0,2024-08-12,Ed - Reg,2024,2,15.0,75K-100K
"Teacher, General Secondary",DCPS,15,89306.0,2021-08-20,Ed - Reg,2021,5,15.0,75K-100K
"Coordinator, Program",DCPS,10,95202.0,2021-08-16,Ed - Reg,2021,5,10.0,75K-100K
"Teacher, Early Childhood",DCPS,15,137632.0,2011-08-15,Ed - Reg,2011,15,15.0,125K-150K
Director,DCPS,16,133851.0,2020-07-20,Ed - Reg,2020,6,16.0,125K-150K
"Teacher, General Secondary",DCPS,15,73189.0,2023-10-30,Ed - Reg,2023,3,15.0,50K-75K
"Specialist, Library/Media",DCPS,15,126436.0,2014-08-11,Ed - Reg,2014,12,15.0,125K-150K
Manager,DCPS,15,114218.0,2022-05-23,CS - Reg,2022,4,15.0,100K-125K
"Specialist, Library/Media",DCPS,15,76329.0,2019-10-28,Ed - Reg,2019,7,15.0,75K-100K
Site Leader (Afterschool),DCPS,30,56160.0,2024-12-29,Ed - Term,2024,2,30.0,50K-75K
"Aide, 10Mo Instructional",DCPS,04,39124.8,2024-09-09,Ed - Reg,2024,2,4.0,Under 50K
"Teacher, Special Ed.",DCPS,15,97941.0,2019-08-04,Ed - Reg,2019,7,15.0,75K-100K
Aide 10Mo Early Childhood Educ,DCPS,04,48526.0,2023-06-20,Ed - Reg,2023,3,4.0,Under 50K
"Teacher, General Secondary",DCPS,15,79005.0,2023-05-09,Ed - Reg,2023,3,15.0,75K-100K
"Teacher, Special Ed.",DCPS,15,103536.0,2025-09-15,Ed - Reg,2025,1,15.0,100K-125K
Teacher- Science (Et- 15),DCPS,15,130268.0,2007-03-05,Ed - Reg,2007,19,15.0,125K-150K
"Teacher, Early Childhood",DCPS,15,105071.0,2015-10-13,Ed - Reg,2015,11,15.0,100K-125K
"Teacher, Music",DCPS,15,44653.0,2010-01-04,Ed - Reg,2010,16,15.0,Under 50K
Cafeteria Lead,DCPS,05,44262.4,2020-07-06,Ed - Reg,2020,6,5.0,Under 50K
"Teacher, General Elementary",DCPS,15,93234.0,2011-01-03,Ed - Reg,2011,15,15.0,75K-100K
"Aide, 10Mo Instructional",DCPS,04,42660.8,2025-08-25,Ed - Reg,2025,1,4.0,Under 50K
"Teacher, General Secondary",DCPS,15,123196.0,2019-05-26,Ed - Reg,2019,7,15.0,100K-125K
Aide 10Mo Early Childhood Educ,DCPS,04,44999.0,2021-12-06,Ed - Reg,2021,5,4.0,Under 50K
Contract Specialist,DCPS,11,86923.0,2023-07-03,Ed - Reg,2023,3,11.0,75K-100K
Coordinator (Eg),DCPS,13,83094.0,2022-06-21,Ed - Reg,2022,4,13.0,75K-100K
Substitute Teacher,DCPS,17,25.0,2025-08-18,Ed - Temp,2025,1,17.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,41454.4,2023-10-23,Ed - Reg,2023,3,4.0,Under 50K
"Aide, 10Mo Dedicated",DCPS,04,42660.8,2025-08-18,Ed - Reg,2025,1,4.0,Under 50K
"Teacher, Pe",DCPS,15,112947.0,2021-08-16,Ed - Reg,2021,5,15.0,100K-125K
"Teacher, Special Ed.",DCPS,15,101115.0,2015-08-10,Ed - Reg,2015,11,15.0,100K-125K
"Instructor, Jrotc (Et-15)",DCPS,15,105525.0,2020-08-10,Ed - Reg,2020,6,15.0,100K-125K
"Teacher, Special Education",DCPS,15,105071.0,2014-10-08,Ed - Reg,2014,12,15.0,100K-125K
Substitute Teacher,DCPS,17,20.0,2023-02-24,Ed - Temp,2023,3,17.0,Under 50K
Custodian,DCPS,05,26.25,2020-07-17,Ed - Reg,2020,6,5.0,Under 50K
"Teacher, General Elementary",DCPS,15,93234.0,2017-10-30,Ed - Reg,2017,9,15.0,75K-100K
"Teacher, Early Childhood",DCPS,15,137632.0,2008-09-05,Ed - Reg,2008,18,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,112947.0,2013-09-04,Ed - Reg,2013,13,15.0,100K-125K
"Teacher, General Elementary",DCPS,15,123196.0,2008-08-19,Ed - Reg,2008,18,15.0,100K-125K
"Assistant , Strategy & Logisti",DCPS,07,58115.2,2010-09-12,Ed - Reg,2010,16,7.0,50K-75K
"Teacher, General Secondary",DCPS,15,105573.0,2011-08-22,Ed - Reg,2011,15,15.0,100K-125K
"Teacher,Elementary",DCPS,15,130268.0,2007-08-21,Ed - Reg,2007,19,15.0,125K-150K
Psychologist (Cso),DCPS,11,119750.0,2024-08-01,Ed - Reg,2024,2,11.0,100K-125K
Assistant Principal,DCPS,81,148674.0,2009-08-17,Ed - Reg,2009,17,81.0,125K-150K
"Teacher, Early Childhood",DCPS,15,130268.0,1995-08-30,Ed - Reg,1995,31,15.0,125K-150K
"Teacher, Visual & Performing A",DCPS,15,66579.0,2024-08-26,Ed - Reg,2024,2,15.0,50K-75K
"Teacher, General Secondary",DCPS,15,75830.0,2024-08-12,Ed - Reg,2024,2,15.0,75K-100K
"Teacher, General Elementary",DCPS,15,97187.0,2019-01-06,Ed - Reg,2019,7,15.0,75K-100K
Substitute Teacher,DCPS,17,20.0,2024-07-15,Ed - Temp,2024,2,17.0,Under 50K
Custodial Foreman,DCPS,03,35.72,1988-12-07,Ed - Reg,1988,38,3.0,Under 50K
Specialist,DCPS,14,98195.0,2021-01-19,CS - Reg,2021,5,14.0,75K-100K
"Specialist, Library/Media",DCPS,15,137632.0,2009-08-17,Ed - Reg,2009,17,15.0,125K-150K
"Teacher, General Elementary",DCPS,15,72655.0,2024-09-09,Ed - Reg,2024,2,15.0,50K-75K
Speech Pathologist,DCPS,11,154983.0,2001-06-20,Ed - Reg,2001,25,11.0,150K+
"Teacher, Pe",DCPS,15,108221.0,2022-11-22,Ed - Reg,2022,4,15.0,100K-125K
Aide 10Mo Early Childhood Educ,DCPS,04,42660.8,2024-08-19,Ed - Reg,2024,2,4.0,Under 50K
"Specialist, Library/Media",DCPS,15,130268.0,2007-08-20,Ed - Reg,2007,19,15.0,125K-150K
Custodian,DCPS,05,28.36,2015-09-08,Ed - Reg,2015,11,5.0,Under 50K
Librarian,DCPS,15,108221.0,2023-09-25,Ed - Reg,2023,3,15.0,100K-125K
"Teacher, World Language",DCPS,15,134332.0,2010-03-29,Ed - Reg,2010,16,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,69886.0,2024-08-19,Ed - Reg,2024,2,15.0,50K-75K
Speech Language Pathologist (W,DCPS,15,130268.0,2012-08-20,Ed - Reg,2012,14,15.0,125K-150K
"Teacher, Special Ed.",DCPS,15,112947.0,2017-01-16,Ed - Reg,2017,9,15.0,100K-125K
Custodial Foreman,DCPS,01,32.19,2000-11-15,CS - Reg,2000,26,1.0,Under 50K
"Aide, 10Mo Special Ed",DCPS,04,48526.0,2010-05-18,Ed - Reg,2010,16,4.0,Under 50K
Teacher- Esol,DCPS,15,72655.0,2024-08-19,Ed - Reg,2024,2,15.0,50K-75K
